Country/Region,Province/State,Country/Region,date,Lat,Long,confirmed,deaths,recoveries
Afghanistan,,Afghanistan,1/22/20,33.93911,67.709953,0,0,0
Albania,,Albania,1/22/20,41.1533,20.1683,0,0,0
Algeria,,Algeria,1/22/20,28.0339,1.6596,0,0,0
Andorra,,Andorra,1/22/20,42.5063,1.5218,0,0,0
Angola,,Angola,1/22/20,-11.2027,17.8739,0,0,0
Antigua and Barbuda,,Antigua and Barbuda,1/22/20,17.0608,-61.7964,0,0,0
Argentina,,Argentina,1/22/20,-38.4161,-63.6167,0,0,0
Armenia,,Armenia,1/22/20,40.0691,45.0382,0,0,0
Australia,Australian Capital Territory,Australia,1/22/20,-35.4735,149.0124,0,0,0
Australia,New South Wales,Australia,1/22/20,-33.8688,151.2093,0,0,0
Australia,Northern Territory,Australia,1/22/20,-12.4634,130.8456,0,0,0
Australia,Queensland,Australia,1/22/20,-27.4698,153.0251,0,0,0
Australia,South Australia,Australia,1/22/20,-34.9285,138.6007,0,0,0
Australia,Tasmania,Australia,1/22/20,-42.8821,147.3272,0,0,0
Australia,Victoria,Australia,1/22/20,-37.8136,144.9631,0,0,0
Australia,Western Australia,Australia,1/22/20,-31.9505,115.8605,0,0,0
Austria,,Austria,1/22/20,47.5162,14.5501,0,0,0
Azerbaijan,,Azerbaijan,1/22/20,40.1431,47.5769,0,0,0
Bahamas,,Bahamas,1/22/20,25.025885,-78.035889,0,0,0
Bahrain,,Bahrain,1/22/20,26.0275,50.55,0,0,0
Bangladesh,,Bangladesh,1/22/20,23.685,90.3563,0,0,0
Barbados,,Barbados,1/22/20,13.1939,-59.5432,0,0,0
Belarus,,Belarus,1/22/20,53.7098,27.9534,0,0,0
Belgium,,Belgium,1/22/20,50.8333,4.469936,0,0,0
Benin,,Benin,1/22/20,9.3077,2.3158,0,0,0
Bhutan,,Bhutan,1/22/20,27.5142,90.4336,0,0,0
Bolivia,,Bolivia,1/22/20,-16.2902,-63.5887,0,0,0
Bosnia and Herzegovina,,Bosnia and Herzegovina,1/22/20,43.9159,17.6791,0,0,0
Brazil,,Brazil,1/22/20,-14.235,-51.9253,0,0,0
Brunei,,Brunei,1/22/20,4.5353,114.7277,0,0,0
Bulgaria,,Bulgaria,1/22/20,42.7339,25.4858,0,0,0
Burkina Faso,,Burkina Faso,1/22/20,12.2383,-1.5616,0,0,0
Cabo Verde,,Cabo Verde,1/22/20,16.5388,-23.0418,0,0,0
Cambodia,,Cambodia,1/22/20,11.55,104.9167,0,0,0
Cameroon,,Cameroon,1/22/20,3.848,11.5021,0,0,0
Central African Republic,,Central African Republic,1/22/20,6.6111,20.9394,0,0,0
Chad,,Chad,1/22/20,15.4542,18.7322,0,0,0
Chile,,Chile,1/22/20,-35.6751,-71.543,0,0,0
China,Anhui,China,1/22/20,31.8257,117.2264,1,0,0
China,Beijing,China,1/22/20,40.1824,116.4142,14,0,0
China,Chongqing,China,1/22/20,30.0572,107.874,6,0,0
China,Fujian,China,1/22/20,26.0789,117.9874,1,0,0
China,Gansu,China,1/22/20,35.7518,104.2861,0,0,0
China,Guangdong,China,1/22/20,23.3417,113.4244,26,0,0
China,Guangxi,China,1/22/20,23.8298,108.7881,2,0,0
China,Guizhou,China,1/22/20,26.8154,106.8748,1,0,0
China,Hainan,China,1/22/20,19.1959,109.7453,4,0,0
China,Hebei,China,1/22/20,37.8957,114.9042,1,0,0
China,Heilongjiang,China,1/22/20,47.862,127.7615,0,0,0
China,Henan,China,1/22/20,33.882,113.614,5,0,0
China,Hong Kong,China,1/22/20,22.3,114.2,0,0,0
China,Hubei,China,1/22/20,30.9756,112.2707,444,17,28
China,Hunan,China,1/22/20,27.6104,111.7088,4,0,0
China,Inner Mongolia,China,1/22/20,44.0935,113.9448,0,0,0
China,Jiangsu,China,1/22/20,32.9711,119.455,1,0,0
China,Jiangxi,China,1/22/20,27.614,115.7221,2,0,0
China,Jilin,China,1/22/20,43.6661,126.1923,0,0,0
China,Liaoning,China,1/22/20,41.2956,122.6085,2,0,0
China,Macau,China,1/22/20,22.1667,113.55,1,0,0
China,Ningxia,China,1/22/20,37.2692,106.1655,1,0,0
China,Qinghai,China,1/22/20,35.7452,95.9956,0,0,0
China,Shaanxi,China,1/22/20,35.1917,108.8701,0,0,0
China,Shandong,China,1/22/20,36.3427,118.1498,2,0,0
China,Shanghai,China,1/22/20,31.202,121.4491,9,0,0
China,Shanxi,China,1/22/20,37.5777,112.2922,1,0,0
China,Sichuan,China,1/22/20,30.6171,102.7103,5,0,0
China,Tianjin,China,1/22/20,39.3054,117.323,4,0,0
China,Tibet,China,1/22/20,31.6927,88.0924,0,0,0
China,Xinjiang,China,1/22/20,41.1129,85.2401,0,0,0
China,Yunnan,China,1/22/20,24.974,101.487,1,0,0
China,Zhejiang,China,1/22/20,29.1832,120.0934,10,0,0
Colombia,,Colombia,1/22/20,4.5709,-74.2973,0,0,0
Congo,,Congo,1/22/20,-0.228,15.8277,0,0,0
Congo,,Congo,1/22/20,-4.0383,21.7587,0,0,0
Costa Rica,,Costa Rica,1/22/20,9.7489,-83.7534,0,0,0
Côte d'Ivoire,,Côte d'Ivoire,1/22/20,7.54,-5.5471,0,0,0
Croatia,,Croatia,1/22/20,45.1,15.2,0,0,0
Diamond Princess,,Diamond Princess,1/22/20,0.0,0.0,0,0,0
Cuba,,Cuba,1/22/20,21.521757,-77.78116700000002,0,0,0
Cyprus,,Cyprus,1/22/20,35.1264,33.4299,0,0,0
Czech Republic (Czechia),,Czech Republic (Czechia),1/22/20,49.8175,15.473,0,0,0
Denmark,Faroe Islands,Denmark,1/22/20,61.8926,-6.9118,0,0,0
Denmark,Greenland,Denmark,1/22/20,71.7069,-42.6043,0,0,0
Denmark,,Denmark,1/22/20,56.2639,9.5018,0,0,0
Djibouti,,Djibouti,1/22/20,11.8251,42.5903,0,0,0
Dominican Republic,,Dominican Republic,1/22/20,18.7357,-70.1627,0,0,0
Ecuador,,Ecuador,1/22/20,-1.8312,-78.1834,0,0,0
Egypt,,Egypt,1/22/20,26.820553000000004,30.802498,0,0,0
El Salvador,,El Salvador,1/22/20,13.7942,-88.8965,0,0,0
Equatorial Guinea,,Equatorial Guinea,1/22/20,1.6508,10.2679,0,0,0
Eritrea,,Eritrea,1/22/20,15.1794,39.7823,0,0,0
Estonia,,Estonia,1/22/20,58.5953,25.0136,0,0,0
Eswatini,,Eswatini,1/22/20,-26.5225,31.4659,0,0,0
Ethiopia,,Ethiopia,1/22/20,9.145,40.4897,0,0,0
Fiji,,Fiji,1/22/20,-17.7134,178.065,0,0,0
Finland,,Finland,1/22/20,61.92411,25.748151,0,0,0
France,French Guiana,France,1/22/20,3.9339,-53.1258,0,0,0
France,French Polynesia,France,1/22/20,-17.6797,149.4068,0,0,0
France,Guadeloupe,France,1/22/20,16.265,-61.551,0,0,0
France,Mayotte,France,1/22/20,-12.8275,45.166244,0,0,0
France,New Caledonia,France,1/22/20,-20.904305,165.618042,0,0,0
France,Reunion,France,1/22/20,-21.1151,55.5364,0,0,0
France,Saint Barthelemy,France,1/22/20,17.9,-62.8333,0,0,0
France,St Martin,France,1/22/20,18.0708,-63.0501,0,0,0
France,Martinique,France,1/22/20,14.6415,-61.0242,0,0,0
France,,France,1/22/20,46.2276,2.2137,0,0,0
Gabon,,Gabon,1/22/20,-0.8037,11.6094,0,0,0
Gambia,,Gambia,1/22/20,13.4432,-15.3101,0,0,0
Georgia,,Georgia,1/22/20,42.3154,43.3569,0,0,0
Germany,,Germany,1/22/20,51.165691,10.451526,0,0,0
Ghana,,Ghana,1/22/20,7.9465,-1.0232,0,0,0
Greece,,Greece,1/22/20,39.0742,21.8243,0,0,0
Guatemala,,Guatemala,1/22/20,15.7835,-90.2308,0,0,0
Guinea,,Guinea,1/22/20,9.9456,-9.6966,0,0,0
Guyana,,Guyana,1/22/20,4.860416000000002,-58.93018000000001,0,0,0
Haiti,,Haiti,1/22/20,18.9712,-72.2852,0,0,0
Holy See,,Holy See,1/22/20,41.9029,12.4534,0,0,0
Honduras,,Honduras,1/22/20,15.2,-86.2419,0,0,0
Hungary,,Hungary,1/22/20,47.1625,19.5033,0,0,0
Iceland,,Iceland,1/22/20,64.9631,-19.0208,0,0,0
India,,India,1/22/20,20.593684,78.96288,0,0,0
Indonesia,,Indonesia,1/22/20,-0.7893,113.9213,0,0,0
Iran,,Iran,1/22/20,32.427908,53.68804599999999,0,0,0
Iraq,,Iraq,1/22/20,33.223191,43.679291,0,0,0
Ireland,,Ireland,1/22/20,53.1424,-7.6921,0,0,0
Israel,,Israel,1/22/20,31.046051,34.851612,0,0,0
Italy,,Italy,1/22/20,41.87194,12.56738,0,0,0
Jamaica,,Jamaica,1/22/20,18.1096,-77.2975,0,0,0
Japan,,Japan,1/22/20,36.204824,138.252924,2,0,0
Jordan,,Jordan,1/22/20,31.24,36.51,0,0,0
Kazakhstan,,Kazakhstan,1/22/20,48.0196,66.9237,0,0,0
